,team,pass_average,rush_average,pts_average,pts,total,opp
0,SanFrancisco,0.25,0.62,0.25,23.29,1.12,L.A.Rams
1,L.A.Rams,-0.22,-0.23,-0.02,22.5,-0.47,SanFrancisco
2,Carolina,-0.28,0.16,0.05,22.39,-0.07,Dallas
3,Dallas,0.03,0.16,0.41,25.57,0.6,Carolina
4,Cleveland,0.0,-0.82,-0.79,17.79,-1.61,KansasCity
5,KansasCity,-0.07,0.22,0.44,24.46,0.59,Cleveland
6,Houston,-0.25,-0.28,0.01,22.86,-0.52,Miami
7,Miami,-0.25,-0.5,-0.47,20.57,-1.22,Houston
8,Jacksonville,-0.54,-0.28,-0.25,21.0,-1.07,N.Y.Jets
9,N.Y.Jets,0.44,-0.21,0.17,23.57,0.4,Jacksonville
10,NewOrleans,-0.5,0.42,-0.05,22.29,-0.13,Washington
11,Washington,0.28,0.75,0.23,25.29,1.26,NewOrleans
12,N.Y.Giants,0.03,-0.53,-0.31,19.29,-0.81,Baltimore
13,Baltimore,0.03,0.91,0.53,26.64,1.47,N.Y.Giants
14,Tennessee,-0.01,0.03,0.13,22.89,0.15,Cincinnati
15,Cincinnati,0.06,-0.57,0.77,27.79,0.26,Tennessee
16,Arizona,-0.24,0.43,0.25,23.25,0.44,NewEngland
17,NewEngland,-0.5,0.12,-0.66,19.43,-1.04,Arizona
18,Denver,0.0,0.32,0.32,23.75,0.64,Indianapolis
19,Indianapolis,-0.26,-0.26,-0.66,18.82,-1.18,Denver
20,Detroit,0.72,0.25,0.34,27.46,1.31,Buffalo
21,Buffalo,0.52,-0.09,0.16,25.96,0.59,Detroit
22,L.A.Chargers,0.14,-0.36,-0.03,22.14,-0.25,TampaBay
23,TampaBay,0.16,0.45,-0.06,23.21,0.55,L.A.Chargers
24,Philadelphia,-0.15,0.09,-0.07,22.64,-0.13,Pittsburgh
25,Pittsburgh,-0.66,-0.09,-0.27,20.82,-1.02,Philadelphia
26,Seattle,0.47,-0.59,-0.19,21.5,-0.31,GreenBay
27,GreenBay,-0.06,0.55,0.25,24.71,0.74,Seattle
28,Minnesota,0.38,0.34,0.08,24.18,0.8,Chicago
29,Chicago,0.11,-0.59,-0.66,18.5,-1.14,Minnesota
30,LasVegas,0.25,-0.59,-0.13,20.96,-0.47,Atlanta
31,Atlanta,0.12,0.16,0.21,23.89,0.49,LasVegas
